,kmin,kmax,k,P,N_modes
0,0.007351326809400031,0.008922123136194931,0.008087070880466065,8322.042691999999,56.96
1,0.008922123136194931,0.010492919462989834,0.009608221514156343,9436.996384000004,51.12
2,0.010492919462989834,0.012063715789784735,0.011272770797413905,9484.633404,103.68
3,0.012063715789784735,0.013634512116579636,0.012787996095674796,10442.883731999998,78.0
4,0.013634512116579636,0.015205308443374527,0.0143453481313522,10390.721308,180.8
5,0.015205308443374527,0.01677610477016943,0.016037618168762705,10618.170759999999,140.4
6,0.01677610477016943,0.018346901096964335,0.017643069372427635,10243.690740000002,235.2
7,0.018346901096964335,0.019917697423759234,0.019157180044195584,10530.422960000002,193.52
8,0.019917697423759234,0.02148849375055414,0.020725668094524568,10440.31096,319.68
9,0.02148849375055414,0.023059290077349033,0.02232424596752453,10206.481259999999,271.92
10,0.023059290077349033,0.024630086404143933,0.023818062199709996,9614.155452,387.36
11,0.024630086404143933,0.026200882730938832,0.02532925834197269,9784.049640000001,361.52
12,0.026200882730938832,0.02777167905773373,0.026978191438294618,9285.5854,572.16
13,0.02777167905773373,0.029342475384528627,0.02859722820481013,8883.722092,442.8
14,0.029342475384528627,0.030913271711323523,0.03014438609715318,8608.531324,667.52
15,0.030913271711323523,0.03248406803811842,0.031698958263966466,8295.18976,536.88
16,0.03248406803811842,0.03405486436491332,0.03327800825635413,7950.501644,808.32
17,0.03405486436491332,0.03562566069170823,0.034820305919770776,7498.347032000002,655.92
18,0.03562566069170823,0.03719645701850314,0.03637821194127686,7207.910183999999,957.44
19,0.03719645701850314,0.03876725334529804,0.037958438430064224,7011.205680000001,805.68
20,0.03876725334529804,0.04033804967209294,0.03953622033347347,6648.584567999998,1130.88
21,0.04033804967209294,0.04190884599888785,0.04113668772388272,6432.2169840000015,1012.4
22,0.04190884599888785,0.043479642325682744,0.042735820599857206,6265.073487999999,1272.96
23,0.043479642325682744,0.04505043865247762,0.04427782938104994,5987.6207,1084.08
24,0.04505043865247762,0.04662123497927253,0.045781321997466456,5794.736524,1400.64
25,0.04662123497927253,0.048192031306067376,0.04737025200136505,5620.355548,1390.64
26,0.048192031306067376,0.04976282763286226,0.04897145183014472,5475.539032,1628.16
27,0.04976282763286226,0.051333623959657154,0.05050948082680543,5382.521884000001,1474.64
28,0.051333623959657154,0.052904420286452064,0.0520768156365879,5193.5929719999995,1891.2
29,0.052904420286452064,0.05447521661324694,0.05367133359880282,5131.977196,1718.64
30,0.05447521661324694,0.056046012940041835,0.055281547254857025,4987.746751999999,2164.8
31,0.056046012940041835,0.05761680926683673,0.0568501759794676,4875.981315999999,1863.92
32,0.05761680926683673,0.059187605593631634,0.05840496061431116,4800.246991999999,2317.44
33,0.059187605593631634,0.06075840192042653,0.059972532328842955,4732.539168,2117.04
34,0.06075840192042653,0.06232919824722144,0.0615391319144734,4654.7399319999995,2591.04
35,0.06232919824722144,0.06389999457401632,0.06312979482705336,4519.206612,2429.68
36,0.06389999457401632,0.06547079090081125,0.0647128402579862,4469.699024,2839.36
37,0.06547079090081125,0.06704158722760611,0.0662698747981286,4353.437628,2552.88
38,0.06704158722760611,0.06861238355440104,0.06782059638929884,4287.745059999998,3126.72
39,0.06861238355440104,0.07018317988119593,0.06939553865281659,4147.463911999999,2882.48
40,0.07018317988119593,0.07175397620799082,0.0709688201585796,4108.767196,3406.08
41,0.07175397620799082,0.07332477253478574,0.07252721052840932,4013.2370119999996,3125.04
42,0.07332477253478574,0.07489556886158062,0.07408450748193433,3898.63618,3646.4
43,0.07489556886158062,0.07646636518837553,0.07563754748183983,3852.440276,3410.16
44,0.07646636518837553,0.0780371615151704,0.07722135174826397,3757.75326,4092.0
45,0.0780371615151704,0.07960795784196534,0.07880182336615665,3624.485627999999,3759.92
46,0.07960795784196534,0.08117875416876022,0.08039107430354328,3534.8849680000008,4390.08
47,0.08117875416876022,0.08274955049555516,0.08198430206794508,3418.1922520000003,4117.04
48,0.08274955049555516,0.08432034682235003,0.08355467697450548,3322.5135279999995,4644.16
49,0.08432034682235003,0.08589114314914495,0.08513012249798338,3216.892852,4449.2
50,0.08589114314914495,0.08746193947593982,0.08671409668892799,3135.0053120000002,5019.84
51,0.08746193947593982,0.08903273580273478,0.08827614426796612,3018.8290119999997,4654.96
52,0.08903273580273478,0.09060353212952965,0.08983339188384737,2906.3717400000005,5395.84
53,0.09060353212952965,0.09217432845632452,0.09140809352823734,2830.115036,5068.08
54,0.09217432845632452,0.09374512478311942,0.09297694914976921,2765.422296,5749.44
55,0.09374512478311942,0.09531592110991431,0.09451600276382155,2690.3878999999997,5272.24
56,0.09531592110991431,0.0968867174367092,0.09609127130489417,2616.43954,6299.2
57,0.0968867174367092,0.09845751376350409,0.09767941585500543,2527.0169920000003,5763.12
58,0.09845751376350409,0.10002831009029894,0.09922796975752828,2456.493168,6462.72
59,0.10002831009029894,0.10159910641709385,0.10078637833379137,2385.903944,6182.64
60,0.10159910641709385,0.10316990274388874,0.10236750482250861,2348.300172,7005.44
61,0.10316990274388874,0.10474069907068369,0.10395004771142446,2284.574516,6652.88
62,0.10474069907068369,0.10631149539747853,0.105522128368469,2243.329072,7404.16
63,0.10631149539747853,0.10788229172427345,0.1070963436823609,2205.266112,6981.04
64,0.10788229172427345,0.10945308805106832,0.10866339457848023,2168.348636,7790.08
65,0.10945308805106832,0.11102388437786324,0.11022795378974108,2125.74474,7456.56
66,0.11102388437786324,0.11259468070465817,0.11181177130700735,2089.843584,8362.88
67,0.11259468070465817,0.11416547703145302,0.1133835310315424,2059.3237320000003,7772.4
